path,filePattern,srcString,destString
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__BSP2""","""SCADAgen_HV__BSP2_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__BSP3""","""SCADAgen_HV__BSP3_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__BSP4""","""SCADAgen_HV__BSP4_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__BSP_""","""SCADAgen_HV__BSP__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__DCB1""","""SCADAgen_HV__DCB1_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__DCB2""","""SCADAgen_HV__DCB2_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__DCB_""","""SCADAgen_HV__DCB__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__ICB2""","""SCADAgen_HV__ICB2_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__ICCB""","""SCADAgen_HV__ICCB_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__IFP1""","""SCADAgen_HV__IFP1_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__IFP2""","""SCADAgen_HV__IFP2_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__IFP3""","""SCADAgen_HV__IFP3_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__IFP_""","""SCADAgen_HV__IFP__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__ISO_""","""SCADAgen_HV__ISO__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MAE1""","""SCADAgen_HV__MAE1_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MAE2""","""SCADAgen_HV__MAE2_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MAN1""","""SCADAgen_HV__MAN1_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MANI""","""SCADAgen_HV__MANI_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MOT1_L""","""SCADAgen_HV__MOT1_L_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MOT1""","""SCADAgen_HV__MOT1_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MOT1_U""","""SCADAgen_HV__MOT1_U_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MOTE""","""SCADAgen_HV__MOTE_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__MOTI""","""SCADAgen_HV__MOTI_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__NTM3""","""SCADAgen_HV__NTM3_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__NTME""","""SCADAgen_HV__NTME_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__NTMI""","""SCADAgen_HV__NTMI_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__PFC1""","""SCADAgen_HV__PFC1_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__PFC2""","""SCADAgen_HV__PFC2_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__PFC3""","""SCADAgen_HV__PFC3_OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__PFC_""","""SCADAgen_HV__PFC__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__TF1_""","""SCADAgen_HV__TF1__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__TF2_""","""SCADAgen_HV__TF2__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__TF3_""","""SCADAgen_HV__TF3__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__TF4_""","""SCADAgen_HV__TF4__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__TF5_""","""SCADAgen_HV__TF5__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__TF6_""","""SCADAgen_HV__TF6__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_HV__TFP_""","""SCADAgen_HV__TFP__OVR"""
views\,SCADAgen_POW_ALLOVRHV__.xml,"""SCADAgen_OHL_ISO_""","""SCADAgen_OHL_ISO__OVR"""
views\images\,*.*.*.layer.svg,"style=""background-color:#D2D2D2;""","style="""""
views\,*.xml,"name=""*.*.Background.layer.svg""","name=""Layout_Background"""
views\,*.xml,"name=""*.*.Layout_AFC_Label.layer.svg""","name=""Layout_AFC_Label"""
views\,*.xml,"name=""*.*.Layout_Escalator_Label.layer.svg""","name=""Layout_Escalator_Label"""
views\,*.xml,"name=""*.*.Layout_Lift_Label.layer.svg""","name=""Layout_Lift_Label"""
views\,*.xml,"name=""*.*.Layout_Room_Label.layer.svg""","name=""Layout_Room_Label"""
views\,*.xml,"name=""*.*.Layout_APG_Label.layer.svg""","name=""Layout_APG_Label"""
